Country;2017;2019;2022
Albania;0;–;–
Algeria;0;–;–
Angola;0;0;0
Argentina;2;2;2
Australia;1;1;1
Austria;1;1;1
Azerbaijan;0;–;1
Bahrain;–;1;1
Bangladesh;0;0;0
Belgium;1;1;1
Belize;0;–;–
Benin;0;0;0
Bolivia;–;–;1
Bosnia and Herzegovina;–;–;1
Botswana;0;0;0
Brazil;1;1;2
Brunei Darussalam;2;2;2
Bulgaria;1;1;1
Burkina Faso;0;0;0
Burundi;0;–;0
Cameroon;0;–;–
Canada;0;1;1
Central African Republic;0;–;–
Chad;0;–;–
Chile;2;2;2
China;0;1;1
Chinese Taipei;2;2;2
Colombia;2;2;2
Comoros;0;–;–
Congo;0;0;0
Costa Rica;2;1;2
Croatia;2;2;2
Cyprus;0;1;1
Czechia;0;0;1
Côte d'Ivoire;0;0;0
Denmark;2;2;2
Djibouti;0;–;–
Dominica;–;–;0
Dominican Republic;1;–;1
DRC;0;–;–
Ecuador;0;1;1
Egypt;–;–;1
El Salvador;2;1;1
Estonia;1;1;1
Eswatini;0;–;0
Fiji;0;–;–
Finland;0;1;1
France;1;1;1
Gabon;0;–;–
Gambia;0;0;0
Georgia;0;0;1
Germany;2;2;2
Ghana;0;–;1
Greece;0;1;1
Guatemala;0;0;1
Honduras;0;–;1
Hong Kong, China;2;2;2
Hungary;0;0;1
Iceland;–;1;1
India;1;1;1
Indonesia;0;–;–
Ireland;2;2;2
Israel;2;2;2
Italy;1;1;2
Jamaica;0;0;1
Japan;1;1;2
Jordan;–;0;1
Kazakhstan;0;1;–
Kenya;0;0;1
Korea;2;2;2
Kuwait;–;–;1
Lao PDR;0;–;–
Latvia;1;2;2
Lebanon;0;0;0
Lesotho;0;–;–
Liberia;0;–;–
Lithuania;2;1;1
Luxembourg;1;1;1
Madagascar;0;0;0
Malawi;0;–;0
Malaysia;0;0;0
Mali;0;–;0
Malta;0;0;1
Mauritius;2;2;2
Mexico;1;1;2
Moldova;–;–;1
Mongolia;–;–;1
Montenegro;0;1;2
Morocco;2;2;2
Mozambique;0;–;0
Myanmar;–;0;1
Namibia;0;0;0
Netherlands;2;2;2
New Zealand;2;2;2
Nicaragua;0;–;1
Nigeria;0;–;–
North Macedonia;–;–;1
Norway;2;2;2
Oman;0;1;2
Pakistan;0;0;1
Panama;0;0;1
Papua New Guinea;0;0;0
Paraguay;0;0;1
Peru;–;0;1
Poland;1;1;1
Portugal;1;1;2
Qatar;–;–;1
Romania;–;–;1
Russia;1;2;2
Rwanda;0;–;0
Saudi Arabia;0;0;1
Senegal;2;2;2
Serbia;–;–;1
Sierra Leone;0;0;0
Singapore;2;–;2
Slovak Republic;–;2;2
Slovenia;2;2;2
Solomon Islands;–;–;0
South Africa;1;1;1
Spain;2;2;2
Sri Lanka;0;0;0
Sudan;0;–;–
Sweden;1;1;1
Switzerland;1;2;2
Thailand;1;1;1
Togo;0;0;0
Tunisia;–;2;1
Türkiye;0;2;2
Uganda;2;2;2
Ukraine;0;0;1
United Arab Emirates;2;1;2
United Kingdom;1;2;2
United States;1;1;2
Uruguay;0;0;2
Uzbekistan;0;0;0
Vanuatu;–;–;0
Venezuela;2;–;–
Viet Nam;0;1;1
Yemen;0;0;–
Zambia;–;0;0
Zimbabwe;0;–;–
